뉴딜사업명,상위기관명,하위기관명,부서명,사업년도,상위사업분류,하위사업분류,사업유형,참여대상,전일근무 일근로시간,전일근무 시급,전일근무 계획인원,전일근무 금회선발인원,파트타임 일근로시간,파트타임 시급,파트타임 계획인원,파트타임 금회선발인원,근로기간 시작일자,근로기간 종료일자,사업목적,이런일을 합니다,근무조건,사업담당자 전화번호
향토문화 콘텐츠 전문가,자치구,광진구,문화체육과,2023,문화,문화?예술?디자인?방송,자치구추긴,일반,8,11157,1,1,0,0,0,0,20230401,20240331,"○ 광진구의 역사적 정통성 확립에 기반한 향토 문화와 시대의 흐름에 따른 새로운 문화콘텐츠를 개발, 지역주민과 공유하며 전통문화 유지계승 발전에 기여하고자 함. ○ 향토문화에 대한 지역주민 요구도 관련 조사 분석 및 지역에 적합한 다양한 문화콘텐츠를 개발하여 기획?운영합니다. ○ 또한 향토문화 사업과 관련하여 전반적인 행정업무를 전담합니다.",○지역주민이 참여하는 향토사 조사?연구 ○향토문화와 연계한 문화콘텐츠 개발   ① 향토문화 콘텐츠 기획 및 운영 ② 향토사료조사?연구 사료집 발간 사업 지원 ③ 향토 관련 전반적인 행정업무,"○주 40시간 / 주 5일 근무 / 일급 89,256원 / 9개월 ○ 광진종합문화센터(광진문화원) 내 사무공간 제공 / 사무기기: 컴퓨터, 전화기, 프린터, 사무용품 등 지급 ○ (필요시) 기타 특화 프로그램 제공    참여대상 : 만25세 이상 서울시민 중 문화콘텐츠 전문가 근로조건 : 주5일, 1일 8시간 급여 : 시급 11,157원 근로장소 : 광진종합문화센터(광진문화원) 문의처 : 광진문화원(02-447-0244) 우대사항 : 행정, 문화콘텐츠 개발 관련 자격증 소지자, 문화콘텐츠 기획 관련 유경험자",02-450-7575
중증발달장애인 자립생활 역량 강화를 위한 사회복지 실천전문가 양성,자치구,동대문구,어르신장애인복지과,2023,복지,사회복지?보육?상담,자치구추긴,일반,8,11157,3,,0,0,0,,20230401,20240331,"◎ 사업목적 - 학령기 이후 자립생활이 필요한 성인발달장애인을 대상으로 개인별 특성을고려하여 자립에 필요한 역량을 증진시키기 위한   교육 및 개별지원 서비스 제공  ◎ 사업내용 - 일상생활, 건강관리, 의사소통교육, 문화여가, 사회적응, 직업지원 등의 자립생활에 필요한 교육 진행 - 자립에 필요한 다양한 정보(자립주택, 성년후견인 제도 등) 제공 - 보호자 상담 등","◎ 발달장애인 자립지원 프로그램 운영 및 지원 - 발달장애인의 자립에 필요한 다양한 프로그램을 직접 운영함 - 일상생활훈련, 건강관리지원, 의사소통교육, 문화여가 및 사회적응 훈련, 직업지원 등 성인 발달장애인의 자립에 필요한 프로그램을 운영 - 프로그램 운영에 필요한 내용을 직접 기획하고 수업을 준비 - 반 운영이 원활하게 운영될 수 있도록 담당 교사의 업무 지원  ◎ 행정업무 수행 - 진행 수업의 프로그램 일지 작성 - 수업 준비를 위한 교재 제작 및 준비 - 매월 수업 계획 수립 및 수업 내용 모니터링 ","◎ 근무조건 : 주5일, 8시간 근무  ◎ 근무장소 : 동대문구 발달장애인 평생교육센터  ◎ 자격조건 : 특수교사, 평생교육사, 사회복지사, 재활사(언어재활사, 장애인재활상담사, 작업치료사) 중 하나 이상의 자격증을 취득한 자(필수)  ◎ 교육 - 교육시간: 총 40시간 이상 자체 교육 실시 - 교육방법: 배치 전 오리엔테이션, 외부 강사 초청 특강, 기관방문, 내부 종사자를 통한 교육             슈퍼비전 등 업무에 필요한 교육 실시 - 교육내용: 발달장애인의 이해, 도전적 행동의 이해, 인권교육, 개인별 지원계획의 이해 등  ◎ 근무환경 - 센터에서 1:1 슈퍼바이저 연계를 통한 관리(상담, 정보제공, 지지 등) - 사무공간: 센터 통합사무실 내 사무공간 마련 - (필요시) 지원자의 요청 시 맞춤형 교육 진행  ◎ 필요직무역량 - 발달장애인의 이해, 책임감, 윤리적 민감성, 협력, 문서작성 능력 등  ◎ 취업연계방안 - 상담을 통한 취업욕구를 파악하여 욕구에 맞는 취업처 안내 - 취업의 자신감 향상을 위한 전문가 모의면접, 상담 등을 진행 - 평생교육센터 기관 방문을 통한 일자리 연계 - 취업과 관련한 최신 정보 제공 등",02-2127-4259
사회적경제 레벨업 매니저,자치구,강동구,일자리정책과,2023,경제,사업관리,자치구추긴,청년,8,11157,2,2,0,0,0,,20230401,20240331,"사업목적 ○ 사회적경제기업의 창업 단계별 체계적이고 효과적인 지원을 통해 사업의 조기 안착 및 성장지원을 위한 창업전문인력 또는 청년 창업가로 양성 ○ UN에서 제정한 SDGs(지속가능발전목표)를 이해하고 기업운영에 적용해주는 전문가 양성  사업내용 ○ 사회적경제기업들의 사회적가치 측정(Social Value Index)교육 및 실무 ○ 창업관련 공모사업의 이해 및 사업계획서 작성 실무 ○ 예비창업자, 초기 창업기업 성장지원","역할 ○ 사회적경제기업 창업 지원 ○ 강동구 사회적경제기업 현황파악 및 문제 해결  ○ SVI(Social Value Index)이해 및 기업 평가 실습 ○ 강동구사회적경제지원센터 공간 운영 지원 ○ 강동구사회적경제지원센터 사업 운영 지원 ○ 강동구사회적경제지원센터 홍보,마케팅 운영 지원  직무역량 ○ 의사소통능력, 조직 적응력 다수의 그룹과도 소통 할 수 있는 커뮤니케이션 역량 ○ 기본적인 문서(한글, 엑셀) 작업 및 활용 능력 ○ SNS를 활용한 온라인 홍보 경험, 트렌드 콘텐츠 파악을 위한 신속한 정보 수집 능력, 고객 군에 적합한 홍보 및 이벤트 기획능력  경력경로 및 비전 ○ 기업분석능력 배양을 통한 기업 평가기관, 투자기관 취업 기회  ○ 사회적경제의 이해와 현장에서의 일 경험을 통해 청년 사회적경제기업가로 성장 가능성 확대 ○ 사회적경제기업 창업에 대한 지식 습득과 다양한 경험을 통해 향후 개인 창업의 기회 마련 ○ 온라인 콘텐츠 포트폴리오 확보를 통해 관련업계의 홍보 직무로 진출 가능 ○ 청년창업 전문가로서 유관공공기관 및 지역기반 기관 및 단체에서 활동가능","○ 실제 근무할 장소: 강동구사회적경제지원센터 운영사무실 ○ 사회적경제지원센터 사무실 내 근무(업무용 책상, 컴퓨터, 전화기, 복합기 등 사무기기 사용) ○ 노트북 임차사용 ○ 일자리정책과 사회적경제팀 담당공무원: 현장 중심 직무 전문성 향상 교육, 취업의지 고취 및 취업역량 강화 지원 ○ 일자리정책과 사회적경제팀 담당공무원 직접관리: 출퇴근 확인, 임금 집행 등  -기타 특화프로그램 운영 ○ 강동구사회적경제지원센터 내에서 진행되는 창업교육 및 멘토링, 네트워킹 프로그램 등 우선참여 기회 제공 ○ 강동구청에서 진행하는 청년관련 행사 우선참여 기회 제공 ○ 커뮤니티 프로그램 운영 기획 및 참여  ○ 실무적인 문서작성 강화교육 제공 ○ 업무역량(문제해결력) 강화교육 제공  * 참여대상 만 19세 이상 ~ 만 39세 이하 ",02-481-1347
자립준비청년 대상 자립지원매니저,본청,여성가족실,아동담당관,2023,복지,사회복지?보육?상담,시직접추진,청년,8,11157,26,26,0,0,0,,20230401,20240331,"사업목적 ○자립준비청년에게 다양한 사회경험?직무경험을 제공으로 관련 경력 형성 ○사회복지종사자로 육성 및 취업연계로 생계활동 및 개개인 자립 강화, 보호 사각지대 예방 및 방지 ○자립지원전담요원의 과도한 업무부담 및 고충 완화 사업내용 ○퇴소한 시설에서 자립지원전담요원 업무 보조 및 수행 ※ 근무자 개개인의 업무 능력을 고려한 업무분장 예정","○각 시설 자립지원전담요원이 뉴딜일자리 참여자의 업무 능력을 고려하여 업무분장을 하며, 모든 업무의 총괄은 자립지원전담요원이 담당 ○자립지원매니저의 기본 업무는 자립지원전담요원의 업무 보조 및 지원 ○자립지원매니저는 (예비)자립준비청년에게 지원 가능한 사업 및 제도 안내, 자립지원전담요원 행정업무(명단 수합, 참여 독려 등) 일부 수행, (예비)자립준비청년과 연락체계 유지 등의 업무를 담당","[근로기간/임금] 일 8시간/주 5일/주 40시간/12개월('23.4.1.~'24.3.31.) [참여자격] ○ (필수) 1) 서울시 소재 아동양육시설에서 퇴소한 자로 만 19세이상 만 34세 이하 자립준비청년 2) 공고일 기준 서울시 거주자 3) 고등학교?고등기술학교 이상 졸업 ○ (우대)  - 퇴소한 시설 근무 가능자 퇴소 시설 참여자로 우선 선발(퇴소 시설 내 신청자가 없을 경우, 해당 시설 근무 가능 신청자 우선 선발)  - 사회복지사 자격증(2급 이상)/심리?상담/컴퓨터 관련 자격증 등 소지자, 사회복지/심리?상담 전공(예정)자, 보육인턴 경력자?인턴 등 관련 경험 보유자",02-2133-5177
공공도서관 전문사서 양성,자치구,중랑구,문화관광과,2023,문화,문화?예술?디자인?방송,자치구추긴,청년,8,11157,6,6,0,0,0,,20230401,20240331,"<사업목적> 사서자격증 소지자를 대상으로 공공도서관의 다양한 사서업무 경험을 통해 향후 진로와 취업에 도움을 주고 중랑구 공공도서관의 서비스 품질 향상에 이바지 하여 만족도 높은 도서관 이용으로 중랑구 독서문화 확산에 기여하고자 함  <사업내용> ○공공도서관 업무 지원(도서관리, 도서관리시스템, 상호대차서비스, 프로그램 등) ○독서문화 진흥 관련 각종 프로그램(중랑북페스티벌 등) 운영 지원 등","   참여자는 본인이 가진 사서로서의 지식과 능력을 바탕으로 도서관 개소의 양적 확대에 연동하여 서비스의 질적 수준을 높이는 역할 수행    - 도서대출?열람?반납, 상호대차서비스 업무, 수서업무 수행    - 그 밖에 독서문화프로그램 아이디어 도출 및 진행 보조    - 2023년 4월 겸재책거리축제, 10월 중랑북페스티벌 행사시 부스 운영 참여    - 중랑구 독서문화 확산과 공공도서관의 발전을 위해 개선점, 발전방향 등 의견제시"," <사무공간 마련>  ○ 실제 근무할 장소: 중랑구 관내 공공도서관  ○ 공공도서관 직원사무실에 사무공간 마련  <사무기기 및 시설 구비>  ○ 공공도서관 내 사무공간 확보완료   ○ 업무용 책상, 컴퓨터 임차하여 사용  <참여자 직무멘토> ○ 근무하게 될 공공도서관의 숙련된 사서를 1:1로 매칭해 멘토역할 수행하게 하고 현장 중심 직무 전문성 향상 교육, 취업의지 고취 및 취업역량 강화 지원  <참여자 근태관리>  ○ 공공도서관 서무담당 직원이 관리: 출퇴근 확인  ○ 문화관광과 담당직원이 근태자료 수합하여 임금지급",02-2094-1831
특수교육 대상 학생 학교생활 지도 지원가,자치구,강동구,교육지원과,2023,복지,사회복지?보육?상담,자치구추긴,일반,8,11157,10,10,0,0,0,0,20230401,20240331,"○ 사업목적: 일반학교 특수학급에 재학 중인 장애 학생의 원활한 학교생활을 현장에서 밀착 지원하여, 일반학교 내에서 장애유형 및 정도에 따라 차별받지 않고 또래와 함께 통합교육을 받을 수 있도록 특수교육 대상 학생들과 동행하는 사업 추진  ○ 사업내용: 배치되는 학급의 담당교사의 지시에 따라 학습활동, 학교활동, 급식 등 특수교육 대상자의 교육 및 학교활동에 대하여 보조하는 역할 수행","○ 업무내용: 특수교육 대상 학생 학교생활 지원  - 교수학습 활동 지원: 학습자료 및 학용품 준비, 이동 보조, 교실과 운동장에서의 학생활동 보조, 학습자료 제작 지원 등  - 개인욕구 지원: 학생 신변처리, 보조기 착용, 착탈의 건강보호 및 안정 생활 지원, 식사지원 등  - 적응행동 지원: 적응행동 촉진 및 부적응 행동 관리 지원, 또래와 관계 형성 지원, 행동지도를 위한 프로그램 관리 등  - 기타 교육활동 관련 업무: 방과후학교, 현장 체험학습, 창의적 체험활동, 수련활동, 소규모 테마형 교육여행 등 학교장이 부여하는 교육활동 관련 업무","○ 근로조건: 1일 8시간, 주 5일 근무원칙, 주ㆍ연차수당 지급 ○ 4대 보험 의무가입 ○ 임    금: 1일 89,256원(시급 11,157원), 식비 별도지급 없음 ○ 근무장소: 강동구 소재 특수학급 설치된 유치원 및 초?중?고 (추후 배치)    - 학교별 상황에 따라 학교 방학기간 동안 근무지 및 근무형태가 변동될 수 있음  ○ 우대조건: 교원(특수, 유, 초등, 중등), 보육교사, 방과후지도사, 청소년지도사, 직업재활사, 평생교육사, 사회복지사 자격증 중 1개 이상을 소지한 자 또는 관련 직무 유경험자   ",02-3425-5205
일자리카페 청년 취업 전문상담사 사업,본청,경제실,일자리정책과,2023,복지,사회복지?보육?상담,시직접추진,일반,8,11157,11,,0,0,0,,20230313,20231231,"○ 청년 전문 취업상담사를 일자리카페에 배치, 취업준비 청년에게 일자리정보 제공 ○ 취업상담, 특강, 멘토링, 이력서 사진촬영 등의 취업프로그램 지원 및 스터디룸 무료 대관 등 종합서비스를 제공을 통해 청년의 취업역량 강화 및 양질의 취업처로 연계하고자 함 ○ 취업 및 진로상담을 통한 청년 취업역량 강화 ○ 채용 트렌드 반영 취업 프로그램 운영 및 지원 ○ 일자리카페 현장 관리를 통한 일자리카페 사업 활성화  ","일자리카페는 청년구직자 맞춤 취업지원서비스를 제공하고 있으며, 청년 취업 전문상담사는 자기소개서/면접 컨설팅, 청년일자리센터 및강동일자리카페 취업프로그램 운영 지원이 주 업무입니다.  경력형성 후 일자리센터, 대학취업지원센터 등으로 진입할 수 있습니다.   ○ 역할 : 취업서류 및 면접지도, 직무분석 전문상담, 프로그램 운영 지원, 일자리카페 공간 관리, 카페 운영주 관리, 이외 일자리카페 업무 지원 등 ○ 직무역량 : 소통능력, 직무분석 및 판단력, 문제해결력, 행정업무 수행능력 등 ○ 경력경로 및 비전 : 진로,직업 상담 및 교육 프로그램 개발 운영 전문가로 성장  <자격요건> ○ 직업상담사 2급 이상(국가기술자격증) 필수 (서류제출 시 자격증 사본 필수 제출) ○ 청년활동공간 운영 및 청년 취업상담 경력자 우대 ○ 심리상담사 1,2급, 교사자격증 보유자 우대","○ 근로기간 : 근로계약체결일~2023.12.31.(뉴딜일자리사업 최대 참여기간 18개월에 한함)/ 주 40시간 / 주 5일 / 일급 89,256원(시급 11,157원) ○ 사무공간 내 PC,  복합기 등 사무기기 렌탈, 명함, 상담바인더 등 상담 사무용품 지원 ○ 상담사 전문역량 강화 위한 직무교육 지원  ○ 근무지 : 서울시 청년일자리센터(중구 장교동), 강동일자리카페(강동구 암사동) => 결원 현황에 따라 충원, 배치                  (사업신청서 상단에 희망 근무지 1순위, 2순위 기재 요망)    ○ 근무시간    - 강동일자리카페 2명 : 월~금 or 화-토 순환 근무 / 9:00~18:00   - 청년일자리센터 2명 : 화~토 1명 9:00~18:00 / 월~금 1명 12:00~21:00  (근무시간 변경될 수 있음)     ",02-2133-5745
서울시 특화산업 맞춤형 기술 개방형 혁신 전문가 양성 취업연계,민간공모,민간공모,한국기술사업화협회,2023,"교육,혁신",교육,민간공모,청년,8,11157,25,,0,0,0,,20230302,20231031,"서울시 특화산업 맞춤형「기술 개방형 혁신 전문가」양성-취업연계 - 서울시 산업생태계 특성 상, 젊은기업 비중이 높고, 콘텐츠/SW/IT분야 등 첨단기술기업이 다수인만큼, 그들의 수요가 많은 외부 혁신요소(기술 등)를 도입 및 내재화 할 수 있는 인재를 양성 후 채용연계함으써, 혁신기업으로의 빠른 성장 기대   "," 서울시 특화산업(신성장 분야)별 맞춤화된 기술이전？사업화 직무 수행 전문인력 양성 실무프로젝트 중심의 교육프로그램* 운영      * 공통교육 : 기술이전？사업화 부문, 특화산업(2개반) : 인공지능？빅데이터+바이오？헬스케어,VR？AR？IoT+핀테크？블록체인    - 수료생이 인턴십 수행 시 현장경험을 쌓을 수 있는 협회 운영사업 연계 지원","1일 8시간, 주5일 근무, 주연차 수당 지급 4대보험 의무가입",070-4448-4821
메타버스 기반의 공간정보융합 SW개발장 양성과정,민간공모,민간공모,한국공간정보산업협동조합,2023,"교육,혁신",교육,민간공모,청년,8,11157,20,,0,0,0,,20230302,20231031,글로벌 메타버스 산업 및 K-컨텐츠 산업성장에 따른 청년일자리를 메타버스+공간 정보 융합 교육을 통하여 창출하고 기업의 구인 미스？매치 애로 사항을 적극적으로  해소 하고자 함,- 메타버스 및 공간정보 개론 - 메타버스 적용을 위한 인공지능 기술 - 공간정보시스템 개발을 위한 C Programming - 공간정보시스템 개발을 위한 Java Programing - 공간정보시스템 개발을 위한  데이터베이스 - 메타버스 기반을 위한 웹 프로그래밍 - 메타버스 기반을 위한 3D 프로그래밍 - Project - 기업 인턴쉽 ,"1일 8시간, 주5일 근무, 주연차 수당 지급 4대보험 의무가입",02-830-0233
해외무역데이터테크 전문가 양성 및 취업과정,민간공모,민간공모,한국중소벤처무역협회,2023,"교육,혁신",교육,민간공모,청년,8,11157,20,,0,0,0,,20230302,20231031,1. 고용효과 : 무역환경 변화에 맞춘 해외무역데이터 전문교육을 통해 청년 고용증대  2. 수출증대 : 중소기업 수출 전문인력을 채용하여 수출자생력 강화 및 수출증대 실현 ,"○ 사업내용 - (개요) 해외바이어 정보획득 know-how와 전문인력이 부족한  중소기업의 신규 해외시장 개척을 위해 전 세계 국가별?상 품별 무역데이터 분석전문가 양성 → 정규직 취업  :170여 개국의 종합 무역데이터 → UN 공개 및 민간기관  무역데이터 정제 및 가공 → 각국 무역 정보(B/L등) 활용 - (직무교육) ①데이터테크 직무교육(해외무역데이터 분석,가공, 정제 → 유효바이어 발굴) ②수출마케팅에 필요한 직무교육 - (정규취업) 해외무역 데이터 활용 희망 기업에 인턴십  → 1:1 멘토링 → 정규직 취업을 위한 맞춤형 지원","1일 8시간, 주5일 근무, 주연차 수당 지급 4대보험 의무가입",02-2138-7997
인공지능 개발 실무교육 및 취업과정,민간공모,민간공모,한국인공지능협회,2023,"교육,혁신",교육,민간공모,청년,8,11157,28,,0,0,0,,20230302,20231031,"인공지능 분야 개발 인력난, 청년 취업난 해소를 위한 인공지능 개발  실무교육과 인턴십을 통한 일경험과 정규직 채용"," - 참여자 모집 및 OT, 인공지능 개발 실무교육 진행  - 참여기업 선정 및 설명회, 멘토 특강, 팀 프로젝트  발표 및 참관수업, 인턴십 비즈니스 매칭데이 진행   - 인공지능 개발자 실무교육을 통한 참여자 역량 강화  - 인턴십 매칭을 통한 기업의 필요인력 선발","1일 8시간, 주5일 근무, 주연차 수당 지급 4대보험 의무가입",02-713-4800
디지털 전문 광고 마케터 교육 및 취업과정,민간공모,민간공모,한국디지털광고협회,2023,경제,마케팅?판매?부동산,민간공모,청년,8,11157,25,,0,0,0,,20230302,20231031,디지털 전환(DX)으로 변화된 광고 시장에 대응 할 수 있는 실무 위주의 디지털 광고  마케팅 교육 운영 및 전문가 양성 프로그램을 운영하여 취준생들의 광고 실무 능력을  배양하고 광고 기업으로의 채용 연계를 통해 광고업계의 부족한 인력 수급 해소,"o 사업내용   -디지털 광고 마케팅을 종합적으로 운영할 수 있는 능력을  배양하기 위해 기획, 크리에이티브, 퍼포먼스 광고, SNS 광고, 데이터기반 광고, 데이터 분석 등의 내용이 담긴 교육 과정을  운영하고 신규 인력 채용에 어려움을 겪고 있는 중소 기업  중심의 광고 업계에 채용 연계  o 기대효과  -디지털 광고?마케팅 실무 능력을 갖춘 청년들을 배양하고  광고 회사와 채용을 연계하여 취업난과 채용난 해결  -전통광고 중심의 대학 교육과 디지털광고 중심의 광고 회사간의 채용 미스 매칭 해소  -신규 인력 채용 시 발생하는 교육에 대한 시간과 비용을 절감하여 기업의 부담 줄여줌","1일 8시간, 주5일 근무, 주연차 수당 지급 4대보험 의무가입",02-2144-4423
[1차민간기업맞춤형]기업회계 전문가 양성과정,민간공모,민간공모,국제경영원,2023,"교육,혁신",교육,민간공모,일반,8,11157,20,,0,0,0,,20230302,20231031,"기업 맞춤 회계?세무 직무 교육으로 즉시 실무 투입 가능한 인재를 양성하고, 우수 중견?중소기업과 채용 연계하여 대한민국 청년들의 구직난 해결","○ 사업내용   - (참여기업 홍보 및 모집) 국제경영원 회원사 및 청년친화강소기업, 다수의 업무협약 협회(중견기업연합회, 광고주협회, 한국프랜차이즈산업협회, 중소기업협력센터) 회원사 대상 홍보 진행, 기존 뉴딜 사업 진행시 확보된 구인처 대상 추가사업 안내, 국민취업지원제도 일경험 프로그램, 청년 디지털 일자리 지원사업, 청년 일경험 지원사업 참여기업 대상 홍보 및 안내 ","1일 8시간, 주5일 근무, 주연차 수당 지급 4대보험 의무가입",02-3771-0391
"[1차민간기업맞춤형]메타버스 핵심기술, 블록체인 기반의 기술사업화 전문인력 양성",민간공모,민간공모,한국에이아이블록체인융합원,2023,"교육,혁신",교육,민간공모,일반,8,11157,28,,0,0,0,,20230302,20231031,"-메타버스 핵심기술, 블록체인 기술 기반의 사업화 전문 인력 24명 양성 - 블록체인 R&D 역량을 갖춘 기술사업화 전문 인력 양성 및 취?창업 연계를 통해 청년실업문제 해소에 기여 - 블록체인 전문 기술인력 부족 및 미스매칭 완화에 기여 - 블록체인 기술 경쟁력 강화 및 블록체인 산업 생태계 조성",1) 산업 적용형 블록체인 관련 기술 및 기술사업화 교육 2) 산업계 맞춤형 블록체인 시스템(dApp) 개발 실습 프로젝트 수행 3) 협력기업/회원사와 긴밀한 네트워크를 통해 민간기업 수요를 반영한 프로젝트 수 행 및 인턴십 연계 4) 인턴십 종료 후 협력기업/회원사 취?창업 연계 ,"1일 8시간, 주5일 근무, 주연차 수당 지급 4대보험 의무가입"
오픈소스SW 기반 AI 서비스 플랫폼 개발자 양성과정,민간공모,민간공모,한국소프트웨어저작권협회,2023,"교육,혁신",교육,민간공모,청년,8,11157,20,,0,0,0,,20230302,20231031,오픈 소스 SW RLQKS AI서비스 플랫폼 개발자 양성 과정 교육을 통한 취업 연계 기업 맞춤형 인재수급,오픈 소스 SW RLQKS AI서비스 플랫폼 개발자 양성 과정 교육을 통한 취업 연계 협약기업과 교육생의 특성 분석을 통한 매칭  ,"1일 8시간, 주5일 근무, 주연차 수당 지급 4대보험 의무가입",070-7709-3737
머신러닝 기반 빅데이터 분석가 양성과정,민간공모,민간공모,디엠씨코넷,2023,"교육,혁신",교육,민간공모,청년,8,11157,20,,0,0,0,,20230302,20231031,"4차산업 육성 발전, 지역산업맞춤형 청년 인재 양성을 위한 실무 교육, 인턴 근무 및 정규직 취업 연계를 통해 일자리 미스매치 해소 ","- 최신 흐름과 기업 수요를 반영한 커리큘럼으로 머신러 닝 기반의 빅데이터 분석 역량을 집중적으로 교육시켜 인재를 양성하고 정규직 채용을 전제로 3개월의 인턴쉽 연계를 통한 교육 참여자의 안정적 일자리 창출 촉진 - 사전에 확보된 일자리에 맞는 맞춤형 교육 커리큘럼으로 실질 수요에 맞는 산업체 맞춤형 우수인재 양성 - 직무 및 기업 문화 등의 상호 적합도와 선호도를 고려한 매칭 시스템으로 상호 만족도 높은 일자리-우수인재 매칭 - 인력 채용 과정의 효율화를 통해 기업의 생산성, 유효성 향상 및 서울시클러스터 발전의 핵심요소로 파급효과 극대화","1일 8시간, 주5일 근무, 주연차 수당 지급 4대보험 의무가입",070-5067-4774
기업맞춤형 리서처양성과정,민간공모,민간공모,한국조사협회,2023,경제,기획?회계?사무,민간공모,청년,8,11157,25,,0,0,0,,20230302,20231031,"리서치에 관심이 있는 졸업예정자 혹은 졸업자를 대상으로 전문교육 실시하고 인턴쉽 과정을 통해 실무 역량을 강화한 후, 리서치기업에 정규직으로 채용연계", 리서치에 관심이 있는 졸업예정자 혹은 졸업자를 대상으로  전문교육 실시하고 인턴쉽 과정을 통해 실무 역량을 강화한 후  리서치기업에 정규직으로 채용연계  ,"1일 8시간, 주5일 근무, 주연차 수당 지급 4대보험 의무가입",02-546-2362
[1차민간기업맞춤형]디지털 퍼포먼스 마케터 양성과정,민간공모,민간공모,국제경영원,2023,경제,마케팅?판매?부동산,민간공모,일반,8,11157,20,,0,0,0,,20230302,20231031,경영분야에 대한 연구와 선진경영 교육기관과의 교류를 통하여 경영정보와   경영기법을 기업에게 보급?전파하여 우리기업의 경쟁력 제고와 국가경쟁력   발전에 이바지 함," 1. 기업경영과 관련한 연구조사 및 경영자문    2. 선진 경영기법 전파를 위한 세미나 및 연찬회    3. 기업의 경영능력계발 및 전문경영인력 양성과 이와 관련된 평생교육시설 운영        (2017.02.27. 개정)    4. 세계 경영자간 교류, 해외기업과의 협력 촉진 및 이와 관련된 국내?외 무료       직업 소개(2018.02.20. 개정)    5. 대 중소기업 경영지원    6. 기업경영 문화창달 및 건전한 기업관 확산    7. 자료발간 및 정보통신매체를 이용한 경영정보 제공    8. 위 각호의 사업수행에 필요한 기타 부대사업","1일 8시간, 주5일 근무, 주연차 수당 지급 4대보험 의무가입",02-3771-0391
영상 콘텐츠 디지털 마케팅 전문가 양성 및 취업과정,민간공모,민간공모,서울동북권기업발전협회,2023,경제,마케팅?판매?부동산,민간공모,청년,8,11157,20,,0,0,0,,20230302,20231031, 4차 산업혁명 시대에 중소기업의 채용 수요가 많은 영상콘텐츠 디지털 마케터를 양성한 후 적정 매칭을 통해 중소기업과 채용연계을 지원함으로써 일자리 미스매칭을 해소하여 청년 구직난과 중소기업 구인난을 동시에 해결,"- 중소기업의 채용 수요가 많은 영상콘텐츠 제작 및  온라인 마케팅 분야의 전문 인력을 양성하여 우수한  중소기업에 정규직 취업 연계   - 교육 수료 후 정규직 전환 조건부로 채용 예정 기업에  3개월 인턴 비용을 지원하여 교육 수료자의 원활한     민간 일자리 진입   - 교육 중 개별 마케팅 기획안 작성과 영상 콘텐츠      제작 실습을 통해 교육생 포트폴리오 강화   - 30일(210시간) 동안 구직자에게 현장 실무형 온라인    마케팅 교육, 영상 제작 교육 취업 역량강화 교육 및  영상 현장실습 프로젝트와 개별 멘토링을 제공   - 기업과 구직자 간의 성향 분석 기반 상호 적합도 매칭   시스템 제공으로 상호 만족도 높은 채용 매칭","1일 8시간, 주5일 근무, 주연차 수당 지급 4대보험 의무가입",02-3360-0250
메타버스 구축을 위한 XR 콘텐츠 개발자 양성,민간공모,민간공모,디엠씨코넷,2023,"교육,혁신",교육,민간공모,청년,8,11157,20,,0,0,0,,20230302,20231031,"4차산업 육성 발전, 지역산업맞춤형 청년 인재 양성을 위한 실무 교육, 인턴 근무 및 정규직 취업 연계를 통해 일자리 미스매치 해소","- 메타버스 구축을 위한 ARVR 콘텐츠 개발의 최신 흐 름을 반영한 커리큘럼으로 콘텐츠 제작 역량을 집중적 으로 교육시켜 인재를 양성하고 정규직 채용을 전제로 3개월의 인턴쉽 연계를 통한 교육 참여자의 안정적 일 자리 창출 촉진 - 사전에 확보된 일자리에 맞는 맞춤형 교육 커리큘럼으로 실질 수요에 맞는 산업체 맞춤형 우수인재 양성 - 직무 및 기업 문화 등의 상호 적합도와 선호도를 고려한 매칭 시스템으로 상호 만족도 높은 일자리-우수인재 매칭 - 인력 채용 과정의 효율화를 통해 기업의 생산성, 유효성 향상 및 서울시클러스터 발전의 핵심요소로 파급효과 극대화","1일 8시간, 주5일 근무, 주연차 수당 지급 4대보험 의무가입",02-5067-4774
빅데이터 분석 시각화 전문가 과정,민간공모,민간공모,하이서울기업협회,2023,"교육,혁신",교육,민간공모,청년,8,11157,20,,0,0,0,,20230302,20231031,"빅데이터 분석 시각화 교육을 통해 기업에 실질적 도움이 되는 우수한 인재를 양성하고, 청년 일자리 창출 효과 및 기업의 인력난 해소에 기여",○ 사업내용   - 빅데이터 분석 시각화 전문가 과정  - 매칭기업 실무 프로젝트 실시  - 기업 매칭을 통한 인턴 및 취업 ○ 기대효과  - 청년 취업난 해소  - 중소기업 빅데이터 분석 시각화 능력 강화  - 중소기업과 구직자 간의 상호 선호도 및 업무 적합도를   고려한 매칭시스템을 통해 만족도 높은 인재매칭 및 취업  미스매칭 해결 ,"1일 8시간, 주5일 근무, 주연차 수당 지급 4대보험 의무가입",02-6959-5650
