시설id,등록일시,수정일시,시설명,서비스분류코드,서비스분류명,자치구코드,자치구명,행정동 코드,행정동명,x좌표값,y좌표값,우편번호,기본주소,상세주소,운영시작일,연락처,사용료무료여부,운영일,휴관일,이용정원(기관),이용정원(개인),신청가능연령,자치구코드배열
GS260301,2026-03-03T10:55:46,2026-04-29T09:29:59,강서구 허준근린공원,1011,서울형키즈카페,11500,강서구,3150056,가양1동,126.85375,37.5676,7525,서울특별시 강서구 허준로5길 42, (가양동),2026-04-06T00:00:00,070-7834-1655,N,"주말(토, 일)",평일,,,4세 ~ 9세,11500
MP260301,2026-03-03T10:53:12,2026-04-29T09:30:15,마포구 망원한강공원,1011,서울형키즈카페,11440,마포구,3130057,망원1동,126.895467697194,37.5549225945205,3954,서울특별시 마포구 마포나루길 420,한강버스 망원선착장 앞 (망원동),2026-04-06T00:00:00,070-7834-1655,N,"주말(토, 일)",평일,,,4세 ~ 9세,11440
EP260301,2026-03-03T10:42:14,2026-04-28T18:05:11,은평구 은평평화공원,1011,서울형키즈카페,11380,은평구,3110038,녹번동,126.923176260949,37.6054496702159,3459,서울특별시 은평구 서오릉로 지하47, (녹번동),2026-04-06T00:00:00,070-7834-1655,N,"주말(토, 일)",평일,,,4세 ~ 9세,11380
YC260201,2026-02-27T15:32:49,2026-03-26T17:10:57,서울형 키즈카페 양천구 목3동점,1011,서울형키즈카페,11470,양천구,3140041,목3동,126.86372,37.54827,7950,서울특별시 양천구 등촌로 208,목동깨비시장 공유센터 3층 (목동),2026-03-02T00:00:00,02-2135-8378,N,화요일~일요일,"월, 공휴일(어린이날 제외), 근로자의 날",,,0세 ~ 6세,11470
MP260201,2026-02-22T14:21:00,2026-04-29T17:31:09,서울형 키즈카페 마포구 쌍룡산근린공원점(염리동),1011,서울형키즈카페,11440,마포구,3130049,염리동,126.949725376367,37.552790492088,4123,서울특별시 마포구 대흥로24바길 55,쌍룡산근린공원점 (염리동),2026-03-05T00:00:00,010-5945-2455,N,"화,수,목,금,토,일","월요일, 명절 및 공휴일, 근로자의날",,,4세 ~ 9세,11440
DJ260205,2026-02-12T13:39:13,2026-04-25T16:01:13,서울형 키즈카페 동작구 신대방2동점(동작키즈카페),1011,서울형키즈카페,11590,동작구,3190058,신대방2동,126.92454,37.49842,7056,서울특별시 동작구 여의대방로24길 76,5층(신대방2동 주민센터) (신대방동),2026-03-31T00:00:00,070-7163-1460,N,화~일요일,"월, 공휴일, 대체공휴일 및 근로자의날",,,0세 ~ 6세,11590
DJ260201,2026-02-11T18:19:59,2026-04-16T11:01:46,서울형 키즈카페 동작구 사당1동점(동작키즈카페),1011,서울형키즈카페,11590,동작구,3190051,사당1동,126.97984,37.47704,7025,서울특별시 동작구 남부순환로 2081,3층 (사당어르신복지관) (사당동),2026-02-19T00:00:00,02-583-4569,N,화~일요일,"월, 공휴일, 대체공휴일 및 근로자의날",,,0세 ~ 6세,11590
YF260101,2026-01-30T17:04:04,2026-04-26T12:50:50,서울형 키즈카페 여의동점(영등포구 영어키즈카페),1011,서울형키즈카페,11560,영등포구,3180045,여의동,126.930009835692,37.5244666704174,7339,서울특별시 영등포구 국제금융로 39,"지하1층 (여의도동, 브라이튼 여의도)",2026-04-01T00:00:00,02-780-6088,N,화요일~일요일,"월요일, 근로자의 날, 법정공휴일",,,0세 ~ 6세,11560
SM260101,2026-01-13T16:56:09,2026-04-29T17:10:05,서울형 키즈카페 서대문구 홍제1동점,1011,서울형키즈카페,11410,서대문구,3120050,홍제1동,126.944007386074,37.5887933103823,3637,서울특별시 서대문구 통일로39길 22-31,홍광문화선교원 3층 (홍제동),2026-02-27T00:00:00,02-396-1006,N,월~토,"일요일, 공휴일, 근로자의 날, 선거일, 임시 공휴일",,,1세 ~ 6세,11410
SP260102,2026-01-13T15:34:45,2026-05-02T14:16:41,서울형 키즈카페 송파구 어린이문화회관점(하하호호놀이터 송파구6호점),1011,서울형키즈카페,11710,송파구,3230049,오금동,127.128394628325,37.5027495991993,5661,서울특별시 송파구 중대로 235,1층 (오금동),2026-01-28T00:00:00,070-4135-9720,N,월~토,"일요일, 명절 및 법정공휴일, 근로자의 날 ",,,0세 ~ 4세,11710
SP260101,2026-01-13T11:30:15,2026-04-21T10:37:58,서울형키즈카페 시립 한성백제박물관점 (서울백제어린이박물관),1011,서울형키즈카페,11710,송파구,3230046,방이1동,127.124295641424,37.5239330546003,5540,서울특별시 송파구 올림픽로 424,"서울백제어린이박물관 (방이동, 올림픽공원내 북2문 인근)",2026-01-21T00:00:00,02-2152-5890,Y,화~일 (시범운영 기간은 화~토요일 운영),"월 (시범운영 기간은 월, 일요일 휴관)",,,0세 ~ 3세,11710
GJ260101,2026-01-05T10:26:22,2026-02-19T19:30:40,서울형 키즈카페 시립 아리수나라점,1011,서울형키즈카페,11215,광진구,3040046,능동,127.07877,37.55201,4991,서울특별시 광진구 능동로 216,서울아리수본부 (능동),2025-12-31T00:00:00,02-3146-5946,Y,화~일,"매주 월요일, 1월 1일, 설날 및 추석 연휴",,,0세 ~ 9세,11215
MP251201,2025-12-30T11:06:36,2026-04-14T09:29:40,서울형 키즈카페 마포구 서강동１호점,1011,서울형키즈카페,11440,마포구,3130124,서강동,126.92703,37.54508,4081,서울특별시 마포구 토정로 148-14,2층 (상수동),2026-01-06T00:00:00,02-323-0187,N,화~일,"월요일, 명절 및 공휴일, 근로자의날",,,4세 ~ 9세,11440
JN251201,2025-12-30T10:36:36,2026-03-05T16:02:54,서울형 키즈카페 시립 공예마을점,1011,서울형키즈카페,11110,종로구,3000043,삼청동,126.982815424065,37.5768595382975,3061,서울특별시 종로구 율곡로3길 4,서울공예박물관 어린이박물관 (교육동 2~3층),2026-02-20T00:00:00,02-6450-7000,Y,매주 화~일요일,"매주 월요일, 1월 1일, 그 밖에 서울공예박물관장이 지정한 날",,,0세 ~ 9세,11110
YC251204,2025-12-16T15:21:25,2026-03-31T17:21:03,서울형 키즈카페 양천구 신월5동점,1011,서울형키즈카페,11470,양천구,3140049,신월5동,126.82719,37.53859,7904,서울특별시 양천구 화곡로4길 10,신월5동주민센터 6층 (신월동),2026-01-15T00:00:00,02-6959-4015,N,화~일,"월, 공휴일(어린이날 제외), 근로자의 날",,,0세 ~ 6세,11470
GN251201,2025-12-10T16:46:47,2026-04-11T17:08:44,서울형 키즈카페 강남구 대치1동점,1011,서울형키즈카페,11680,강남구,3220049,대치1동,127.05659,37.49352,6280,서울특별시 강남구 남부순환로391길 25,강남성은교회 2층 (대치동),2026-01-02T00:00:00,02-553-0625,N,월~토,"일요일 및 법정 공휴일, 노동절",,,0세 ~ 6세,11680
SC251201,2025-12-03T14:04:49,2026-04-26T17:17:28,서울형 키즈카페 서초구 양재1동2호점(서리풀노리학교 양재1동2호점),1011,서울형키즈카페,11650,서초구,3210055,양재1동,127.015630432696,37.4562914416109,6767,서울특별시 서초구 양재대로2길 110,우면열린문화센터 1층 (우면동),2025-12-23T00:00:00,02-579-9340,N,화~일,"월요일, 근로자의 날, 법정공휴일 ",,,0세 ~ 6세,11650
SB251201,2025-12-02T14:33:04,2026-05-02T16:47:49,서울형 키즈카페 성북구 보문동점,1011,서울형키즈카페,11290,성북구,3070050,보문동,127.01934,37.58387,2872,서울특별시 성북구 지봉로24길 26,부모아이지원센터 2층 (보문동5가),2025-12-24T00:00:00,02-2241-0779,N,월 ~ 토,"일요일, 법정공휴일, 근로자의 날, 기타 정부에서 지정하는 휴일",,,0세 ~ 6세,11290
JG251201,2025-12-01T11:48:37,2026-04-14T15:05:31,서울형 키즈카페 중구 을지로동점(노리몽땅),1011,서울형키즈카페,11140,중구,3010095,을지로동,127.00055,37.56774,4546,서울특별시 중구 을지로27가길 24,서울형 키즈카페 중구 을지로동점(노리몽땅),2025-12-16T00:00:00,02-2264-2678,N,화요일~일요일,"월요일, 법정공휴일, 근로자의 날",,,0세 ~ 6세,11140
SM251101,2025-11-29T15:55:35,2026-01-12T14:06:48,서울형 키즈카페 서대문구 BABY 남가좌1동점,1011,서울형키즈카페,11410,서대문구,3120057,남가좌1동,126.91992,37.57303,3711,서울특별시 서대문구 모래내로15길 31,서대문구육아종합지원센터 2층 (남가좌동) (남가좌동),2025-12-09T00:00:00,02-3217-6551,N,월~토요일,"일요일, 대체공휴일, 국가공휴일, 근로자의 날",,,0세 ~ 1세
GA251101,2025-11-27T13:28:56,2026-03-22T16:07:59,서울형 키즈카페 관악구 신사동점,1011,서울형키즈카페,11620,관악구,3200160,신사동,126.916441621988,37.4824532422163,8761,서울특별시 관악구 남부순환로 1491,1층 (신림동),2025-12-23T00:00:00,02-867-2837,N,화~일,"월, 공휴일,  근로자의 날",,,0세 ~ 6세,11620
JR251102,2025-11-25T16:36:53,2026-02-13T21:24:13,서울형 키즈카페 중랑구 면목5동점 (중랑실내놀이터 늘푸른공원점),1011,서울형키즈카페,11260,중랑구,3060043,면목5동,127.07946,37.58319,2232,서울특별시 중랑구 동일로 591,2층 (면목동),2026-02-27T00:00:00,02-432-1135,Y,화요일 ~ 일요일,"월요일, 법정공휴일(어린이날 제외), 근로자의 날, 그 밖에 센터장이 지정한 날, 월요일이 공휴일인 경우 그 다음날을 휴관일로 지정",,,2세 ~ 6세,11260
JR251101,2025-11-25T16:28:14,2026-02-26T16:12:57,서울형 키즈카페 중랑구 망우본동 3호점(중랑실내놀이터 망우본동 주민센터점),1011,서울형키즈카페,11260,중랑구,3060125,망우본동,127.10149,37.60056,2059,서울특별시 중랑구 망우로67길 10,6층 (망우동),2025-12-30T00:00:00,02-495-1470,Y,화요일 ~ 일요일,"월요일, 법정공휴일(어린이날 제외), 근로자의 날, 그 밖에 센터장이 지정한 날, 월요일이 공휴일인 경우 그 다음날을 휴관일로 지정",,,2세 ~ 6세,11260
SP251101,2025-11-19T15:54:15,2026-05-02T17:03:34,서울형 키즈카페 송파구 장지동점(하하호호놀이터 송파구5호점),1011,서울형키즈카페,11710,송파구,3230099,장지동,127.13312,37.48822,5798,서울특별시 송파구 송이로33길 9,656-2번지 2층 (문정동),2025-12-09T00:00:00,02-400-0272,N,화~일,"월요일, 명절 및 법정공휴일, 근로자의 날",,,0세 ~ 6세,11710
GJ251101,2025-11-18T10:24:15,2026-01-28T10:55:44,서울형 키즈카페 시립 서울상상나라점,1011,서울형키즈카페,11215,광진구,3040046,능동,127.077601055686,37.550606356683,4991,서울특별시 광진구 능동로 216,2층,2025-11-15T00:00:00,02-6450-9500,N,화~일,"월요일, 1월 1일, 설/추석 연휴, 보수기간",,,0세 ~ 3세
GB251001,2025-10-30T13:31:06,2026-04-23T14:35:14,서울형 키즈카페 강북구 송천동점,1011,서울형키즈카페,11305,강북구,3080128,송천동,127.01921,37.62351,1167,서울특별시 강북구 삼양로 220,반도중앙교회 교육관 1층 (미아동),2025-11-12T00:00:00,02-946-0191,N,월요일 ~ 토요일,"일요일, 명절 및 법정공휴일, 근로자의 날",,,3세 ~ 7세,11305
YC251003,2025-10-16T16:52:34,2026-03-26T17:11:59,서울형 키즈카페 양천구 신정7동 2호점,1011,서울형키즈카페,11470,양천구,3140058,신정7동,126.869087531054,37.5110271522066,8101,서울특별시 양천구 목동남로 98, 4층 (신정동),2025-11-04T00:00:00,02-2135-9166,N,화요일~일요일,"월, 공휴일(어린이날 제외), 근로자의 날",,,0세 ~ 3세,11470
DJ251003,2025-10-01T09:24:10,2026-04-15T16:05:00,서울형 키즈카페 동작구 사당2동점(동작키즈카페),1011,서울형키즈카페,11590,동작구,3190052,사당2동,126.97758,37.48838,6999,서울특별시 동작구 동작대로29길 63-26,2층 (사당동),2025-10-10T00:00:00,070-7163-1480,N,화~일요일,"월, 공휴일, 대체공휴일 및 근로자의날",,,0세 ~ 6세,11590
DJ250901,2025-09-23T20:28:08,2026-04-21T09:09:08,서울형 키즈카페 시립 보라매공원점,1011,서울형키즈카페,11590,동작구,3190058,신대방2동,126.91949,37.49487,7062,서울특별시 동작구 여의대방로20길 33,1층 (신대방동),2025-09-30T00:00:00,02-831-7220,N,화~일," 월요일, 명절 및 법정공휴일, 대체휴무일, 근로자의 날  ",,,3세 ~ 9세,11590
DM250901,2025-09-14T16:01:01,2026-04-29T14:05:37,서울형 키즈카페 동대문구 새샘공원점,1011,서울형키즈카페,11230,동대문구,3050049,답십리1동,127.055000759239,37.568816956685,2601,서울특별시 동대문구 사가정로2길 99, (답십리동) 서울형키즈카페 새샘공원점_답십리초등학교 후문 옆 새샘근린공원 내 두번째 건물,2025-09-29T00:00:00,02-3390-4578,N,화요일~일요일," 매주 월요일, 법정 공휴일 및 노동 (어린이날 정상 운영 )",,,3세 ~ 8세,11230
GJ250901,2025-09-11T01:52:33,2026-04-29T14:34:36,광진구 서울어린이대공원 ,1011,서울형키즈카페,11215,광진구,3040046,능동,127.080854381128,37.5479245247223,4991,서울특별시 광진구 능동로 216,서울어린이대공원 내 새싹마루 앞,2026-04-06T00:00:00,010-5412-4945,N,"주말(토, 일)",평일,,,4세 ~ 9세,11215
JR250801,2025-08-13T16:10:38,2026-04-30T18:10:49,중랑구 중랑캠핑숲,1011,서울형키즈카페,11260,중랑구,3060125,망우본동,127.110041653896,37.606147375645,2062,서울특별시 중랑구 송림길 160, (망우동),2026-04-06T00:00:00,010-7790-9636,N,"주말(토, 일)",평일,,,4세 ~ 9세,11260
EP250801,2025-08-13T13:51:52,2026-04-29T09:31:06,은평구 증산문화공원,1011,서울형키즈카페,11380,은평구,3110053,증산동,126.90412,37.58188,13521,서울특별시 은평구 증산동 263,은평구 증산문화공원(실외),2026-04-06T00:00:00,070-7834-1655,N,"주말(토, 일)",평일,,,4세 ~ 9세,11380
SD250801,2025-08-13T13:44:05,2026-04-29T09:32:00,성동구 꽃재어린이공원,1011,서울형키즈카페,11200,성동구,3030117,왕십리도선동,127.0283,37.56749,4741,서울특별시 성동구 하왕십리동 1069, (응봉동),2026-04-06T00:00:00,010-7790-9636,N,주말(토),평일,,,4세 ~ 9세,11200
MP250801,2025-08-13T13:34:24,2026-04-29T09:33:23,마포구 난지한강공원 스타숲,1011,서울형키즈카페,11440,마포구,3130062,상암동,126.883097031139,37.5631240760257,3900,서울특별시 마포구 마포나루길 256,스타숲 (상암동),2026-04-06T00:00:00,070-7834-1655,N,"주말(토, 일)",평일,,,4세 ~ 9세,11440
DM250801,2025-08-12T17:10:06,2026-04-29T09:33:35,동대문구 이문1동 근린공원 ,1011,서울형키즈카페,11230,동대문구,3050063,이문1동,127.057979260117,37.6006790651151,2404,서울특별시 동대문구 이문로35길 12, (이문동),2026-04-06T00:00:00,010-7790-9636,N,토요일,"평일, 일요일",,,4세 ~ 9세,11230
GS250801,2025-08-12T15:20:40,2026-04-29T10:19:15,강서구 마곡하늬공원,1011,서울형키즈카페,11500,강서구,3150061,공항동,126.82111,37.55684,7810,서울특별시 강서구 마곡서로 13, (마곡동),2026-04-06T00:00:00,070-7834-1655,N,"주말(토, 일)",평일,,,4세 ~ 9세,11500
GB250801,2025-08-12T14:31:08,2026-04-29T10:19:28,강북구 북서울꿈의숲 청운답원,1011,서울형키즈카페,11305,강북구,3080049,번1동,127.040920160172,37.6218837862653,1228,서울특별시 강북구 월계로 173,"북서울꿈의숲, 상상톡톡미술관 앞 청운답원(잔디광장) (번동)",2026-04-06T00:00:00,010-7790-9636,N,"주말(토, 일)",평일,,,4세 ~ 9세,11305
JG250701,2025-07-22T14:36:52,2026-04-28T17:03:50,서울형 키즈카페 중구 장충점(노리몽땅),1011,서울형키즈카페,11140,중구,3010046,장충동,127.00941,37.56066,4606,서울특별시 중구 장충단로6길 57-6, (장충동1가),2025-09-02T00:00:00,02-2274-2625,N,화요일~일요일,"월요일, 법정공휴일, 근로자의 날",,,0세 ~ 6세,11140
YC250603,2025-06-26T18:06:08,2026-03-26T17:12:31,서울형 키즈카페 양천구 신트리공원점,1011,서울형키즈카페,11470,양천구,3140052,신정1동,126.856863737213,37.5147412627462,8091,서울특별시 양천구 목동동로 5,서울형 키즈카페 양천구 신트리공원점 (신정동),2025-07-08T00:00:00,070-7700-9293,N,화~일,"월요일, 근로자의 날, 공휴일",,,2세 ~ 9세,11470
GD250601,2025-06-05T13:43:40,2026-04-14T14:16:54,서울형 키즈카페 강동구 성내2동점(아이?맘 강동),1011,서울형키즈카페,11740,강동구,3240054,성내2동,127.127508896403,37.5337635203269,5387,서울특별시 강동구 천호대로162길 70,"1층, 2층 (성내동)",2025-09-09T00:00:00,02-3425-9389,N,화~일,"월요일, 명절 및 공휴일",,,0세 ~ 6세,11740
EP250601,2025-06-02T16:19:42,2026-01-02T09:49:14,서울형 키즈카페 은평구 불광2동점(은평아이맘놀이터),1011,서울형키즈카페,11380,은평구,3110040,불광2동,126.93191,37.62224,3360,서울특별시 은평구 불광로18길 6,"2-3층 (불광동, 수리마을 들락날락)",2025-07-24T00:00:00,02-2138-0652,N,화~일요일,"월요일(정기 휴관일), 근로자의 날, 법정공휴일(어린이날 제외)",,,0세 ~ 6세
GR250505,2025-05-26T11:28:47,2026-04-05T09:44:18,서울형 키즈카페 구로구 신도림동점,1011,서울형키즈카페,11530,구로구,3160041,신도림동,126.891544395961,37.5090517914519,8209,서울특별시 구로구 경인로 688,신도림역 지상 2층 (신도림동),2025-07-29T00:00:00,070-8846-5678,N,화~일,"매주 월요일, 법정공휴일, 대체휴무일, 근로자의 날 ",,,3세 ~ 6세,11530
YC250501,2025-05-19T15:45:26,2026-04-30T11:08:57,서울형 키즈카페 양천구 신정4동점,1011,서울형키즈카페,11470,양천구,3140055,신정4동,126.858901031226,37.5222881101294,8027,서울특별시 양천구 은행정로 29,대한교회 후문 교육관 센터위드  4층 (신정동),2025-07-09T00:00:00,070-4647-2250,N,월~토,"일요일, 공휴일(어린이날 제외), 근로자의 날",,,2세 ~ 6세,11470
JR250504,2025-05-17T21:28:08,2026-04-21T15:26:08,서울형 키즈카페  중랑구 묵동점 (중랑실내놀이터 묵동 장미마을점),1011,서울형키즈카페,11260,중랑구,3060053,묵2동,127.07338,37.60774,2008,서울특별시 중랑구 중랑천로 258, (묵동),2025-05-27T00:00:00,02-3296-5281,N,화~일요일,"월요일, 법정공휴일(어린이날 제외), 근로자의 날, 그 밖에 센터장이 지정한 날, 월요일이 공휴일인 경우 그 다음날을 휴관일로 지정",,,5세 ~ 8세,11260
EP250501,2025-05-09T13:25:49,2025-12-31T17:37:39,서울형 키즈카페 은평구 응암1동점(은평아이맘놀이터),1011,서울형키즈카페,11380,은평구,3110045,응암1동,126.930147233206,37.599328102489,3472,서울특별시 은평구 은평로 220,커뮤니티센터2동 1층 (주차 공간 없음),2025-05-28T00:00:00,02-2138-0497,N,수~월요일,"화요일(정기 휴관일), 근로자의 날, 법정 공휴일(어린이날 제외)",,,3세 ~ 9세
GA250401,2025-04-17T10:30:55,2026-04-22T10:13:20,서울형 키즈카페 관악구 은천동점,1011,서울형키즈카페,11620,관악구,3200151,은천동,126.941610548828,37.4870196105377,8716,서울특별시 관악구 국회단지4길 32,3층 서울형키즈카페 관악구 은천동점 (봉천동),2025-08-05T00:00:00,02-875-2883,N,화~일,월,,,0세 ~ 2세,11620
